CoDeSys Trace
C:\Users\s182059\Desktop\31342-Introduction-to-programmable-logic-controllers-DTU\Uge9 - Coms\pou.pro
Zeit PLC_PRG.temperaturefloat PLC_PRG.rate 
0 20.55 -5.000019e-002 
120 20.55 -5.000019e-002 
240 20.55 -5.000019e-002 
360 20.55 -5.000019e-002 
480 20.55 -5.000019e-002 
600 20.55 -5.000019e-002 
720 20.55 0 
840 20.55 0 
960 20.55 0 
1080 20.65 0 
1200 20.65 0 
1320 20.65 0 
1440 20.65 0 
1560 20.65 0 
1680 20.65 0 
1800 20.65 0 
1920 20.65 0 
2040 20.65 0 
2160 20.65 0 
2280 20.65 0 
2400 20.65 0 
2520 20.65 0 
2640 20.75 0 
2760 20.75 0.1000004 
2880 20.75 0.1000004 
3000 20.75 0.1000004 
3120 20.75 0.1000004 
3240 20.75 0.1000004 
3360 20.75 0.1000004 
3480 20.75 0.1000004 
3600 20.75 0.1000004 
3720 20.75 0.1000004 
3840 20.75 0.1000004 
3960 20.75 0.1000004 
4080 20.75 0.1000004 
4200 20.75 0.1000004 
4320 20.75 0.1000004 
4440 20.75 0.1000004 
4560 20.75 0.1000004 
4680 20.75 0.1000004 
4800 20.75 0 
4920 20.75 0 
5040 20.75 0 
5160 20.85 0 
5280 20.85 0 
5400 20.85 0 
5520 20.85 0 
5640 20.85 0 
5760 20.85 0 
5880 20.85 0 
6000 20.85 0 
6120 20.85 0 
6240 20.85 0 
6360 20.85 0 
6480 20.85 0 
6600 20.85 0 
6720 20.95 0 
6840 20.95 0.1000004 
6960 20.95 0.1000004 
7080 20.95 0.1000004 
7200 20.95 0.1000004 
7320 20.95 0.1000004 
7440 20.95 0.1000004 
7560 20.95 0.1000004 
7680 20.95 0.1000004 
7800 20.95 0.1000004 
7920 20.95 0.1000004 
8040 20.95 0.1000004 
8160 20.95 0.1000004 
8280 20.95 0.1000004 
8400 20.95 0.1000004 
8520 20.95 0.1000004 
8640 20.95 0.1000004 
8760 20.95 0.1000004 
8880 20.95 0 
9000 20.95 0 
9120 20.95 0 
9240 21.05 0 
9360 21.05 0 
9480 21.05 0 
9600 21.05 0 
9720 21.05 0 
9840 21.05 0 
9960 21.05 0 
10080 21.05 0 
10200 21.05 0 
10320 21.05 0 
10440 21.05 0 
10560 21.05 0 
10680 21.05 0 
10800 21.05 4.999924e-002 
10920 21.15 4.999924e-002 
11040 21.15 4.999924e-002 
11160 21.15 4.999924e-002 
11280 21.15 4.999924e-002 
11400 21.15 4.999924e-002 
11520 21.15 4.999924e-002 
11640 21.15 4.999924e-002 
11760 21.15 4.999924e-002 
11880 21.15 4.999924e-002 
12000 21.15 4.999924e-002 
12120 21.15 4.999924e-002 
12240 21.15 4.999924e-002 
